CLI00001;Fabián   Poblete;44;Casado; Buchupureo ; Puerto Montt 
CLI00002;Gonzalo   Contreras;45;Casado; Santa Juana ; Maitencillo 
CLI00003;Antonia   Herrera;46;Soltero; Niebla ; Puerto Pirihueico 
CLI00004;Pedro   Rodríguez;46;Casado; El Melocotón ; Llicaldad 
CLI00005;Camila   Olivares;23;Divorciado; Las Cruces ; Iloca
CLI00006;Vicente   Pino;21;Viudo; Las Trincheras ; Río Bueno 
CLI00007;Emily   Henríquez;32;Divorciado; Isla R. Crusoe (Juan Fernández) ; Mehuín 
CLI00008;Laura   Núñez;37;Divorciado; Pedregal ; Santa Olga 
CLI00009;Montserrat   Romero;31;Viudo;Lontué ; Puerto Cárdenas 
CLI00010;Amalia   Maldonado;24;Viudo;El Guayacán ;Alcohuaz 
CLI00011;Sebastián   Godoy;40;Casado; Río Puelo ; Mamiña 
CLI00012;Florencia   Jara;30;Viudo; Chanavayita ; Pedregal 
CLI00013;Jorge   Navarrete;40;Casado; El Boyenar ; Quenuir 
CLI00014;Isidora   Castillo;27;Casado;La Laguna ; Vilches 
CLI00015;Claudio   Salinas;50;Casado; Molco ;Rivadavia 
CLI00016;Cristián   Olivares;21;Divorciado; Las Cruces ; Futrono 
CLI00017;Carla   Espinoza;24;Casado; Puerto Cárdenas ; Constitución 
CLI00018;Anahís   Guzmán;33;Casado; Piruquina ; Isla de Maipo 
CLI00019;Clemente   Vergara;50;Soltero;Puertecillo ; Puente Negro 
CLI00020;Amaro   Vargas;47;Divorciado; Los Molinos ; Caldera 
CLI00021;Belén   Lagos;27;Viudo; Bahia Inglesa ;Puerto Saavedra 
CLI00022;Dafne   Vidal;34;Casado; Puerto Bertrand ; Recinto 
CLI00023;Laura   Escobar;35;Viudo; Iquique ; Buchupureo 
CLI00024;Miguel   Tapia;20;Soltero; Piruquina ; Limache 
CLI00025;Noelia   Rivera;35;Divorciado; Ancud ; Caldera 
CLI00026;Bárbara   Valdés;21;Divorciado;Las Trancas (Termas de Chillán) ; Quillota 
CLI00027;Baltazar   Martínez;39;Divorciado; Puyuhuapi ; Tulahuén 
CLI00028;Alfonso   Zúñiga;25;Soltero; Puerto Pirihueico ; San José de Maipo 
CLI00029;Dylan   Castro;38;Soltero; Punta Arenas ; Puerto Bertrand 
CLI00030;Ema   Carrasco;34;Viudo; Puerto Cisnes ; La Tirana 
CLI00031;Josué   Sáez;39;Divorciado;Puerto Guadal ; Villa O'Higgins 
CLI00032;Gaspar  Soto;25;Casado; Recinto ; Isla R. Crusoe (Juan Fernández) 
CLI00033;Dominique   Bravo;33;Casado; Coñaripe ; Puerto Cárdenas 
CLI00034;Leonor   García;26;Soltero; Catripulli ; San Pedro De Atacama
CLI00035;Ema   Ortiz;48;Casado; Curacautín ; Saltos del Laja 
CLI00036;Valentina   Rodríguez;49;Viudo; Cochiguaz ; El Quisco 
CLI00037;Emma   Valenzuela;26;Soltero; San Fabián de Alico ; El Manzano 
CLI00038;Francisca   Farías;42;Viudo; Hornopirén ;Puertecillo 
CLI00039;Trinidad   Vargas;24;Soltero; Santa Olga ; Los Molinos 
CLI00040;Facundo   Figueroa;23;Viudo; Puerto Cárdenas ; Chile Chico 
CLI00041;Maite   Jara;43;Viudo; Vichuquén ; El Médano 
CLI00042;Joaquín   Hernández;46;Divorciado; Alto del Carmen ; Huasco 
CLI00043;Aaron   Lagos;37;Soltero; Los Molles ; Juan Lopez 
CLI00044;Javiera   Escobar;32;Soltero; Chile Chico ;Metri 
CLI00045;Julián   Campos;30;Divorciado;Cahuil ; Tongoy 
